"TXN_ID";"AMOUNT";"FUNDS_AVAIL_DATE";"TXN_DATE";"TXN_TYPE_CD";"ACCOUNT_ID"
1;100.0;"2000-01-15 00:00:00";"2000-01-15 00:00:00";"CDT";1
2;100.0;"2000-01-15 00:00:00";"2000-01-15 00:00:00";"CDT";2
3;100.0;"2004-06-30 00:00:00";"2004-06-30 00:00:00";"CDT";3
4;100.0;"2001-03-12 00:00:00";"2001-03-12 00:00:00";"CDT";4
5;100.0;"2001-03-12 00:00:00";"2001-03-12 00:00:00";"CDT";5
6;100.0;"2002-11-23 00:00:00";"2002-11-23 00:00:00";"CDT";7
7;100.0;"2002-12-15 00:00:00";"2002-12-15 00:00:00";"CDT";8
8;100.0;"2003-09-12 00:00:00";"2003-09-12 00:00:00";"CDT";10
9;100.0;"2000-01-15 00:00:00";"2000-01-15 00:00:00";"CDT";11
10;100.0;"2004-09-30 00:00:00";"2004-09-30 00:00:00";"CDT";12
11;100.0;"2004-01-27 00:00:00";"2004-01-27 00:00:00";"CDT";13
12;100.0;"2002-08-24 00:00:00";"2002-08-24 00:00:00";"CDT";14
13;100.0;"2004-12-28 00:00:00";"2004-12-28 00:00:00";"CDT";15
14;100.0;"2004-01-12 00:00:00";"2004-01-12 00:00:00";"CDT";17
15;100.0;"2001-05-23 00:00:00";"2001-05-23 00:00:00";"CDT";18
16;100.0;"2001-05-23 00:00:00";"2001-05-23 00:00:00";"CDT";19
17;100.0;"2003-07-30 00:00:00";"2003-07-30 00:00:00";"CDT";21
18;100.0;"2004-10-28 00:00:00";"2004-10-28 00:00:00";"CDT";22
19;100.0;"2004-06-30 00:00:00";"2004-06-30 00:00:00";"CDT";23
20;100.0;"2002-09-30 00:00:00";"2002-09-30 00:00:00";"CDT";24
21;100.0;"2003-07-30 00:00:00";"2003-07-30 00:00:00";"CDT";28
